#{"t_start": 1629257266.094042, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.123149
-67.782128,87,3.138139
-197.924394,67,3.149134
-279.513276,105,3.166391
-123.633501,99,3.182333
-334.260422,124,3.202958
-96.12964,68,3.213292
-115.800032,128,3.234797
-122.168452,64,3.244568
-136.090989,102,3.262183
-101.234691,128,3.284321
-116.577897,109,3.302711
-80.139599,70,3.313605
-100.782603,60,3.322722
-111.614655,75,3.334965
-130.79032,79,3.347437
-103.296811,76,3.359726
-296.90333,86,3.373463
66.593887,92,3.389916
-119.317955,89,3.404017
-303.838081,100,3.420746
-47.480419,60,3.430197
-328.251215,93,3.447016
-115.874228,67,3.458076
-124.013335,98,3.474996
-162.400896,114,3.495569
-287.866378,94,3.510427
-29.70943,133,3.533789
-252.836647,95,3.549576
-287.972794,93,3.564324
-82.009008,71,3.575364
-262.687141,126,3.597022
-78.557795,63,3.606705
-274.144437,107,3.625244
-125.051999,94,3.640357
-92.124445,56,3.649718
-82.853717,76,3.661899
-181.188024,102,3.67955
-179.80773,102,3.6968
-154.844479,128,3.718622
-333.16698,112,3.73719
-208.017131,120,3.757761
-127.792325,86,3.772065
-271.997399,102,3.79057
-312.392888,87,3.80423
-261.328635,113,3.823552
-256.664426,119,3.843492
-365.040159,92,3.859996
-248.489123,104,3.877217
-119.092731,90,3.891824
-131.348908,90,3.906503
-89.509867,63,3.915693
-135.943539,68,3.926296
-122.186595,90,3.940832
-110.902424,91,3.955812
-95.616854,113,3.976192
-102.160673,63,3.98568
-131.52896,145,4.012116
-177.782549,90,4.026271
-163.841573,71,4.0378
-178.494138,74,4.050793
-73.17638,62,4.060987
-106.686439,110,4.08007
-85.800789,64,4.090554
-85.664052,57,4.099211
-123.832024,60,4.108104
-307.309531,105,4.126166
-115.839116,67,4.137372
-118.449117,101,4.153559
-254.32054,117,4.173759
-135.781423,86,4.187612
-283.584895,88,4.201227
-125.638122,64,4.21128
-91.615657,62,4.221372
-108.867398,69,4.232817
-69.418565,60,4.241986
-122.377953,86,4.256752
-86.816323,71,4.268121
-104.034209,98,4.285245
-76.01358,66,4.295972
-121.637937,67,4.307807
-84.2505,61,4.31728
-186.197601,86,4.331757
-177.575971,75,4.345133
-345.773867,85,4.358755
-197.098837,111,4.376709
-161.023907,62,4.387101
-68.044963,65,4.397087
-130.902007,104,4.414716
-138.88501,101,4.4335
-351.218908,76,4.446948
-334.300381,129,4.470595
-229.606839,103,4.489199
-375.870069,95,4.505252
-337.08505,88,4.51965
-117.555136,102,4.537158
-233.41435,146,4.564998
-115.308426,73,4.575514
-132.40928,84,4.588694
37.836105,128,4.611914
-134.777743,81,4.626275
-240.952869,129,4.649435
-237.530196,78,4.662723
-421.038689,100,4.681145
-157.213328,87,4.696318
-86.308664,56,4.705767
-111.930601,115,4.725953
-132.005735,87,4.740851
-111.205109,80,4.754081
-318.87239,97,4.771257
-364.281915,92,4.786486
-644.0834,87,4.833058
-700.847038,89,4.874386
-2718.1557,274,5.036808
-1569.755932,227,5.166722
-512.702048,81,5.202878
-95.771291,91,5.223729
-76.141068,67,5.234665
-86.639086,109,5.25736
-384.541432,124,5.289222
-400.427212,83,5.303694
-207.75913,92,5.319268
-284.909195,109,5.338769
-121.004284,110,5.357471
-323.470634,100,5.37554
-342.607743,101,5.393625
-95.479746,99,5.413335
-107.904394,146,5.441463
-347.393729,114,5.463034
-403.240599,107,5.481983
-449.603639,92,5.500838
-218.575895,105,5.520627
12.386403,1000,6.171307
-101.326619,58,6.180654
-330.810174,105,6.19905
-234.727704,86,6.213005
-128.207179,91,6.226835
-468.022923,85,6.240676
-231.730988,108,6.257642
-105.559754,83,6.270894
-289.730017,105,6.288684
-66.356879,67,6.299958
-123.882046,73,6.311028
-48.661271,77,6.323149
-117.612516,96,6.337591
-209.798914,95,6.35248
-193.883885,93,6.367476
8.582177,90,6.383681
-253.98714,87,6.398856
-73.352694,65,6.409453
16.703492,80,6.422726
-147.060814,95,6.439449
-162.11142,90,6.454237
-166.983838,65,6.465034
-118.117508,108,6.483823
-182.933175,145,6.509093
-352.709211,102,6.525622
-178.537864,65,6.535701
-62.240421,63,6.545182
-94.55158,82,6.558815
-99.131069,72,6.569906
-153.879905,130,6.593709
-291.163666,78,6.607362
-294.220684,98,6.623639
-217.356122,61,6.633901
-98.493374,80,6.646671
-88.538889,64,6.657474
-57.50932,68,6.6686
-89.950753,83,6.682576
-94.100015,85,6.696379
-183.61094,128,6.71949
-88.910454,121,6.742409
-169.537732,92,6.758249
-92.233474,70,6.770435
-587.334042,93,6.7862
-160.947911,87,6.799992
-107.770231,90,6.813782
-297.380198,73,6.825533
-79.827676,58,6.834329
-73.382265,72,6.845285
-319.993226,91,6.860415
-428.91044,108,6.880658
-313.004769,101,6.897797
52.559015,83,6.912372
-69.656535,78,6.9261
-84.356997,64,6.936384
-251.118735,94,6.953679
-124.6522,97,6.970954
-127.694771,90,6.985457
-262.224028,106,7.003259
-121.436467,89,7.017278
-355.060313,96,7.032188
-135.649343,92,7.046228
-430.866123,101,7.063562
-245.074315,103,7.082563
-28.835589,95,7.098998
-252.713278,111,7.118823
-124.812088,114,7.14
-104.439201,71,7.152473
-278.087605,88,7.16733
-77.893151,99,7.184681
-392.626793,83,7.197954
-166.447479,107,7.215852
-197.969103,82,7.228924
-79.099465,61,7.239142
-235.595896,111,7.258631
-138.091115,84,7.272378
-210.314783,101,7.289397
-289.919398,108,7.308427
-87.368428,140,7.335371
-167.064128,75,7.347567
-67.559876,87,7.363827
-80.958536,76,7.376253
-202.146426,128,7.401099
-1504.747787,205,7.525275
-576.805563,99,7.572058
-609.815009,79,7.607132
-1501.454297,184,7.700633
-531.385086,81,7.737049
-105.118124,79,7.752276
-272.001547,82,7.765737
-164.197887,106,7.785186
-69.925523,77,7.798872
-302.99796,89,7.815035
-437.232977,94,7.831549
-195.789646,75,7.845459
-453.573007,95,7.86166
-293.452567,75,7.874079
-137.70036,96,7.892483
-255.370873,115,7.915112
-134.624031,98,7.933988
-328.416817,108,7.955419
-110.524496,64,7.967244
-192.579695,93,7.983597
-134.586455,125,8.010964
-127.223363,81,8.026268
-139.78999,120,8.049852
-85.530154,96,8.067161
-473.085232,88,8.082786
-136.639932,71,8.095937
37.508338,97,8.114615
-156.918014,82,8.12835
-114.28203,92,8.14533
-138.979129,58,8.155805
-108.445857,86,8.170484
-127.031832,89,8.187019
-254.399052,100,8.204241
-116.989169,85,8.22016
-278.436459,115,8.243633
-114.976665,76,8.255791
-266.863739,101,8.272998
-140.229314,122,8.296828
-425.140113,104,8.315495
-158.904566,83,8.329762
-302.571646,111,8.350696
-7.829306,88,8.365957
-238.498835,71,8.378477
-389.837034,92,8.394951
-81.893311,103,8.41454
-367.292292,76,8.429392
-104.823588,106,8.45538
-191.315564,74,8.471656
-221.428533,83,8.486851
-71.600168,66,8.498705
-358.995028,78,8.512329
-305.860025,83,8.527055
-193.696238,69,8.538527
-133.503795,67,8.550323
-112.009082,78,8.563428
-105.093595,111,8.582416
-69.75087,65,8.594433
-136.483661,66,8.606019
-92.216546,65,8.616791
-149.98433,74,8.63007
-151.6044,70,8.642038
-355.029813,139,8.891325
-253.929986,195,9.623836
-41.217117,115,10.04274
111.788776,1000,14.749954
-109.274959,92,15.11713
-74.967311,79,15.452425
-60.819507,269,16.523728
-81.56641,148,16.982831
-22.430001,206,17.600595
-67.275068,161,18.093349
-60.044428,165,18.562992
-68.714282,96,18.830634
-62.01034,94,19.096611
-35.532072,135,19.435239
-65.457513,163,19.946801
-53.294443,194,20.639969
-113.835732,293,21.714731
142.852022,1000,25.981524
-93.359323,1000,29.63949
-112.047519,1000,30.757128
-60.193612,1000,31.609436
-76.269305,1000,33.164098
-95.105991,1000,34.549275
31.020444,1000,38.757196
-189.191797,290,39.800364
-66.136603,357,41.134217
-76.395789,434,43.199675
-54.822949,706,46.345444
-65.022157,204,47.082293
4.630472,298,48.103901
-100.129796,1000,53.046582
-242.0119,396,54.752185
-74.538641,1000,59.949634
31.015369,186,60.626136
-16.70468,1000,65.170843
-26.979155,1000,70.088512
22.210521,154,70.660686
-47.944903,1000,75.438035
-182.352834,1000,81.698076
-252.452122,530,82.09496
-267.756019,1000,83.115221
-161.935477,203,83.230719
-166.734017,274,83.3785
-121.907958,178,84.103926
-134.375037,416,85.687097
-86.994029,139,86.287868
66.228326,1000,91.844795
-66.396405,1000,95.780554
-82.816131,1000,100.479807
-73.522954,213,101.319845
-52.026754,1000,106.908757
-137.080253,350,107.959176
-4.129453,1000,112.384343
-97.415022,162,113.084883
-40.167515,1000,117.414962
-26.779446,1000,121.566686
-83.885326,1000,125.988029
-92.68367,1000,129.80063
-171.93543,737,130.611506
-119.234145,311,130.772484
-39.734878,1000,132.500634
-46.651781,1000,133.753303
-53.347917,1000,137.912242
-31.565469,1000,142.292523
-66.435681,1000,146.92809
115.359846,952,152.125834
-14.598554,1000,157.530487
-24.587969,396,158.786112
220.717194,686,161.393672
178.910718,694,164.677803
153.456868,719,168.475628
226.530999,559,171.187346
117.858862,950,174.934418
-30.959565,1000,179.84522
-77.388574,1000,180.737022
270.887493,291,180.924931
-40.020782,161,180.997957
239.883689,386,181.218477
-34.892285,183,181.302747
230.699817,504,182.959866
231.920348,495,184.737158
49.354133,1000,189.571452
-50.754719,166,190.283047
182.863402,493,192.446632
227.48454,360,193.702237
263.844679,293,195.003665
282.034558,427,196.911106
189.429564,846,200.775879
-114.394696,360,202.358368
16.257457,1000,206.221002
-15.363677,1000,210.232034
269.607846,647,212.946026
143.855353,823,216.960075
170.7962,902,221.086674
7.421414,243,221.900978
229.794023,533,224.200646
272.802584,254,224.358723
211.325926,220,224.47944
-62.48462,177,224.570242
-88.60786,348,224.825261
191.374021,515,227.163741
256.816726,333,228.458806
130.241539,976,232.487338
-61.95569,227,233.327874
-93.43158,195,233.930729
191.865061,621,236.546262
273.356528,226,237.444169
182.070885,374,239.154041
137.755722,1000,243.380352
301.833423,367,244.967082
35.563484,186,245.668878
236.336296,295,246.899613
282.708621,222,247.742585
236.767663,364,249.250566
272.403294,611,251.474851
259.2582,239,252.302177
233.667928,266,253.203364
-1.036529,183,253.890698
250.311939,742,256.914917
296.077231,522,258.958426
241.024788,446,260.83289
253.416404,228,261.73316
-13.307051,85,262.037149
28.707364,225,262.996906
277.7323,341,264.332826
29.596589,190,265.062981
107.08396,1000,266.089295
176.071629,1000,267.007765
3.659127,225,267.135217
-212.902268,871,268.300621
240.150123,233,268.436321
209.239861,450,270.227414
218.258586,421,271.645347
229.552347,497,273.628237
276.546489,281,274.697087
246.334659,183,275.398572
36.203451,128,275.89846
305.276324,282,277.09726
233.514328,398,278.783154
296.718873,480,280.96104
251.108744,243,282.016115
164.945965,808,285.343303
273.303169,441,286.899162
-19.090722,111,287.203418
268.169824,287,288.167369
302.371726,232,289.087171
168.967873,1000,293.455907
199.981238,484,295.422415
260.147336,315,296.844185
267.449711,413,298.433212
305.725831,472,300.345639
218.355799,283,301.659927
282.338291,244,302.671397
255.114578,544,304.458032
302.630537,182,305.012146
34.176994,94,305.261976
-38.218149,97,305.544918
-68.761098,81,305.755964
244.911349,372,307.020509
259.865808,258,307.869062
217.38628,282,308.039233
-58.960955,158,308.116862
248.960027,305,308.290758
238.308321,263,308.433509
9.95377,91,308.833395
4.943576,73,309.119428
-9.367501,121,309.614861
33.033323,82,309.965595
255.132726,321,311.372595
20.170221,104,311.800402
270.252367,342,313.21977
124.386001,1000,317.80071
239.483154,330,319.262343
243.033019,332,320.614988
276.731687,321,322.011336
235.743808,228,322.963005
240.598706,267,324.026436
295.903763,199,324.831715
274.223845,213,325.523267
262.477685,901,328.740866
281.434512,259,329.789146
269.530964,576,332.298327
135.936866,1000,336.601366
303.881602,206,337.284517
254.406152,418,338.600329
19.250507,87,338.884445
301.383037,245,339.709113
21.007414,89,340.045579
280.227184,238,341.015783
269.756024,264,342.104392
248.757842,359,343.710436
257.906076,180,344.491959
280.09826,218,345.212058
32.327206,106,345.612712
228.849149,453,347.330724
261.787033,308,348.639919
258.785088,235,349.061517
274.084976,186,349.156638
163.24463,1000,349.934787
270.349371,202,350.041867
244.752672,181,350.135945
259.66332,286,351.237986
-10.165241,100,351.63169
-85.337459,116,352.079391
248.739358,556,354.355212
242.210864,400,356.219052
230.25938,719,359.142521
252.673756,649,362.049772
-5.530888,106,362.481374
247.160182,737,365.505057
93.431244,1000,370.243065
303.16121,215,371.12601
282.713975,154,371.803474
257.748929,346,373.428282
39.645838,83,373.768635
275.59563,205,374.593607
-7.874047,125,375.0397
285.294179,373,376.480928
291.279644,600,378.614872
-210.145611,433,380.598547
49.792795,186,381.25976
240.330014,344,382.656115
242.729841,525,384.825182
264.035156,352,386.267689
272.820013,253,387.278777
250.044226,178,387.950449
259.787806,217,388.625914
46.092756,143,389.09903
286.370846,182,389.756626
273.015326,308,391.036311
-118.205934,121,391.517692
214.983179,490,391.834791
209.681347,319,392.051541
254.314506,149,392.124128
-45.105205,253,392.258559
211.618627,322,393.657328
257.60787,224,394.486093
247.88707,304,395.690352
269.197747,436,397.458115
247.029392,280,398.619328
276.29529,245,399.553978
254.226906,620,401.768883
235.685084,381,402.868448
13.261194,111,403.169785
232.223464,478,404.891751
269.187692,288,406.142121
281.799335,319,407.515722
249.40759,736,410.583044
271.442385,213,411.440201
238.67452,211,412.384386
286.221899,218,413.260947
280.935467,182,413.909571
294.839758,227,414.701039
267.315831,229,415.599056
254.219298,296,416.708533
269.101181,168,417.384447
209.800532,969,421.772883
-3.116046,93,422.071296
263.410813,210,422.720287
258.368503,300,423.734185
247.713514,367,425.128757
272.263998,246,425.982071
265.666815,940,429.510789
274.944049,219,430.209691
50.468289,121,430.669772
280.924058,136,430.894243
35.890733,102,430.939166
260.507834,153,431.007151
269.662757,147,431.073812
269.39459,164,431.149379
170.148057,1000,435.553725
125.398556,1000,440.062777
214.490334,406,441.579034
149.687051,1000,445.297199
298.625117,591,447.321565
253.632651,612,449.655685
244.050598,361,451.032574
9.194085,84,451.32411
267.990647,250,452.40027
280.134189,225,453.263678
255.792072,314,454.46471
270.467647,505,456.155931
276.566628,225,457.000748
278.026055,219,457.929879
145.055409,1000,462.640416
267.037766,987,466.249393
264.590303,277,467.037864
278.31215,213,467.923353
220.291935,348,469.292
270.589267,358,470.78437
245.608235,195,470.967198
237.612289,223,471.091725
283.36533,161,471.170359
279.400033,202,471.276098
252.99408,154,471.352388
267.132347,296,472.627975
283.929512,244,473.621688
276.98432,258,474.603767
258.798889,237,475.479968
203.256274,262,476.409376
254.420826,226,477.186065
282.536847,306,478.356547
254.187188,229,479.180095
271.540342,274,480.242563
184.571765,624,482.926062
310.070535,394,484.513018
147.623764,1000,488.998574
45.912283,150,489.601161
